,stop_code,stop_name,agency_name,line_number,arrival_time
8586,11132,דרך מצדה/חז''ל,דן באר שבע,11,06:15:59
8571,11132,דרך מצדה/חז''ל,דן באר שבע,11,06:45:59
8536,11132,דרך מצדה/חז''ל,דן באר שבע,11,07:15:59
8496,11132,דרך מצדה/חז''ל,דן באר שבע,11,07:30:59
8466,11132,דרך מצדה/חז''ל,דן באר שבע,11,07:50:59
8566,11132,דרך מצדה/חז''ל,דן באר שבע,11,08:10:59
8381,11132,דרך מצדה/חז''ל,דן באר שבע,11,08:30:59
8386,11132,דרך מצדה/חז''ל,דן באר שבע,11,08:50:59
8361,11132,דרך מצדה/חז''ל,דן באר שבע,11,09:10:59
8366,11132,דרך מצדה/חז''ל,דן באר שבע,11,09:30:59
8416,11132,דרך מצדה/חז''ל,דן באר שבע,11,09:50:59
8421,11132,דרך מצדה/חז''ל,דן באר שבע,11,10:10:59
8371,11132,דרך מצדה/חז''ל,דן באר שבע,11,10:30:59
8396,11132,דרך מצדה/חז''ל,דן באר שבע,11,10:50:59
8391,11132,דרך מצדה/חז''ל,דן באר שבע,11,11:10:59
8376,11132,דרך מצדה/חז''ל,דן באר שבע,11,11:30:59
8411,11132,דרך מצדה/חז''ל,דן באר שבע,11,11:50:59
8401,11132,דרך מצדה/חז''ל,דן באר שבע,11,12:10:59
8406,11132,דרך מצדה/חז''ל,דן באר שבע,11,12:30:59
8501,11132,דרך מצדה/חז''ל,דן באר שבע,11,12:50:59
8561,11132,דרך מצדה/חז''ל,דן באר שבע,11,13:10:59
8541,11132,דרך מצדה/חז''ל,דן באר שבע,11,13:30:59
8546,11132,דרך מצדה/חז''ל,דן באר שבע,11,13:50:59
8591,11132,דרך מצדה/חז''ל,דן באר שבע,11,14:10:59
8581,11132,דרך מצדה/חז''ל,דן באר שבע,11,14:30:59
8506,11132,דרך מצדה/חז''ל,דן באר שבע,11,14:50:59
8526,11132,דרך מצדה/חז''ל,דן באר שבע,11,15:10:59
8596,11132,דרך מצדה/חז''ל,דן באר שבע,11,15:30:59
8511,11132,דרך מצדה/חז''ל,דן באר שבע,11,15:50:59
8531,11132,דרך מצדה/חז''ל,דן באר שבע,11,16:10:59
8471,11132,דרך מצדה/חז''ל,דן באר שבע,11,16:30:59
8601,11132,דרך מצדה/חז''ל,דן באר שבע,11,16:50:59
8551,11132,דרך מצדה/חז''ל,דן באר שבע,11,17:10:59
8516,11132,דרך מצדה/חז''ל,דן באר שבע,11,17:30:59
8481,11132,דרך מצדה/חז''ל,דן באר שבע,11,17:50:59
8606,11132,דרך מצדה/חז''ל,דן באר שבע,11,18:10:59
8476,11132,דרך מצדה/חז''ל,דן באר שבע,11,18:30:59
8611,11132,דרך מצדה/חז''ל,דן באר שבע,11,18:50:59
8486,11132,דרך מצדה/חז''ל,דן באר שבע,11,19:10:59
8521,11132,דרך מצדה/חז''ל,דן באר שבע,11,19:35:59
8556,11132,דרך מצדה/חז''ל,דן באר שבע,11,20:05:59
8576,11132,דרך מצדה/חז''ל,דן באר שבע,11,20:35:59
8491,11132,דרך מצדה/חז''ל,דן באר שבע,11,21:05:59
7198,11132,דרך מצדה/חז''ל,דן באר שבע,12,05:24:59
7156,11132,דרך מצדה/חז''ל,דן באר שבע,12,05:48:59
7096,11132,דרך מצדה/חז''ל,דן באר שבע,12,06:12:59
7120,11132,דרך מצדה/חז''ל,דן באר שבע,12,06:32:59
7090,11132,דרך מצדה/חז''ל,דן באר שבע,12,07:02:59
7138,11132,דרך מצדה/חז''ל,דן באר שבע,12,07:33:59
7108,11132,דרך מצדה/חז''ל,דן באר שבע,12,07:54:59
7102,11132,דרך מצדה/חז''ל,דן באר שבע,12,08:17:59
7123,11132,דרך מצדה/חז''ל,דן באר שבע,12,08:44:59
7129,11132,דרך מצדה/חז''ל,דן באר שבע,12,09:12:59
7099,11132,דרך מצדה/חז''ל,דן באר שבע,12,09:32:59
7111,11132,דרך מצדה/חז''ל,דן באר שבע,12,09:52:59
7132,11132,דרך מצדה/חז''ל,דן באר שבע,12,10:12:59
7093,11132,דרך מצדה/חז''ל,דן באר שבע,12,10:32:59
7117,11132,דרך מצדה/חז''ל,דן באר שבע,12,10:52:59
7105,11132,דרך מצדה/חז''ל,דן באר שבע,12,11:12:59
7126,11132,דרך מצדה/חז''ל,דן באר שבע,12,11:32:59
7114,11132,דרך מצדה/חז''ל,דן באר שבע,12,11:52:59
7135,11132,דרך מצדה/חז''ל,דן באר שבע,12,12:12:59
7216,11132,דרך מצדה/חז''ל,דן באר שבע,12,12:32:59
7192,11132,דרך מצדה/חז''ל,דן באר שבע,12,12:52:59
7222,11132,דרך מצדה/חז''ל,דן באר שבע,12,13:12:59
7219,11132,דרך מצדה/חז''ל,דן באר שבע,12,13:32:59
7207,11132,דרך מצדה/חז''ל,דן באר שבע,12,13:52:59
7147,11132,דרך מצדה/חז''ל,דן באר שבע,12,14:12:59
7213,11132,דרך מצדה/חז''ל,דן באר שבע,12,14:32:59
7195,11132,דרך מצדה/חז''ל,דן באר שבע,12,14:52:59
7210,11132,דרך מצדה/חז''ל,דן באר שבע,12,15:12:59
7189,11132,דרך מצדה/חז''ל,דן באר שבע,12,15:32:59
7180,11132,דרך מצדה/חז''ל,דן באר שבע,12,15:52:59
7162,11132,דרך מצדה/חז''ל,דן באר שבע,12,16:12:59
7150,11132,דרך מצדה/חז''ל,דן באר שבע,12,16:32:59
7168,11132,דרך מצדה/חז''ל,דן באר שבע,12,16:52:59
7174,11132,דרך מצדה/חז''ל,דן באר שבע,12,17:12:59
7144,11132,דרך מצדה/חז''ל,דן באר שבע,12,17:36:59
7177,11132,דרך מצדה/חז''ל,דן באר שבע,12,18:00:59
7141,11132,דרך מצדה/חז''ל,דן באר שבע,12,18:24:59
7186,11132,דרך מצדה/חז''ל,דן באר שבע,12,18:48:59
7159,11132,דרך מצדה/חז''ל,דן באר שבע,12,19:12:59
7201,11132,דרך מצדה/חז''ל,דן באר שבע,12,19:42:59
7204,11132,דרך מצדה/חז''ל,דן באר שבע,12,20:12:59
7153,11132,דרך מצדה/חז''ל,דן באר שבע,12,20:52:59
7165,11132,דרך מצדה/חז''ל,דן באר שבע,12,21:42:59
7039,11132,דרך מצדה/חז''ל,דן באר שבע,12,22:12:59
7171,11132,דרך מצדה/חז''ל,דן באר שבע,12,22:42:59
7036,11132,דרך מצדה/חז''ל,דן באר שבע,12,23:12:59
7183,11132,דרך מצדה/חז''ל,דן באר שבע,12,23:42:59
8267,11132,דרך מצדה/חז''ל,דן באר שבע,12א,05:12:59
8210,11132,דרך מצדה/חז''ל,דן באר שבע,12א,05:36:59
8192,11132,דרך מצדה/חז''ל,דן באר שבע,12א,06:00:59
8306,11132,דרך מצדה/חז''ל,דן באר שבע,12א,06:22:59
8315,11132,דרך מצדה/חז''ל,דן באר שבע,12א,06:42:59
8297,11132,דרך מצדה/חז''ל,דן באר שבע,12א,06:52:59
8273,11132,דרך מצדה/חז''ל,דן באר שבע,12א,07:12:59
8309,11132,דרך מצדה/חז''ל,דן באר שבע,12א,07:19:59
8285,11132,דרך מצדה/חז''ל,דן באר שבע,12א,07:26:59
8288,11132,דרך מצדה/חז''ל,דן באר שבע,12א,07:40:59
8333,11132,דרך מצדה/חז''ל,דן באר שבע,12א,07:47:59
8279,11132,דרך מצדה/חז''ל,דן באר שבע,12א,08:01:59
8312,11132,דרך מצדה/חז''ל,דן באר שבע,12א,08:08:59
8282,11132,דרך מצדה/חז''ל,דן באר שבע,12א,08:26:59
8318,11132,דרך מצדה/חז''ל,דן באר שבע,12א,08:35:59
8321,11132,דרך מצדה/חז''ל,דן באר שבע,12א,08:53:59
8300,11132,דרך מצדה/חז''ל,דן באר שבע,12א,09:02:59
8339,11132,דרך מצדה/חז''ל,דן באר שבע,12א,09:22:59
8324,11132,דרך מצדה/חז''ל,דן באר שבע,12א,09:42:59
8270,11132,דרך מצדה/חז''ל,דן באר שבע,12א,10:02:59
8291,11132,דרך מצדה/חז''ל,דן באר שבע,12א,10:22:59
8294,11132,דרך מצדה/חז''ל,דן באר שבע,12א,10:42:59
8303,11132,דרך מצדה/חז''ל,דן באר שבע,12א,11:02:59
8327,11132,דרך מצדה/חז''ל,דן באר שבע,12א,11:22:59
8276,11132,דרך מצדה/חז''ל,דן באר שבע,12א,11:42:59
8330,11132,דרך מצדה/חז''ל,דן באר שבע,12א,12:02:59
8222,11132,דרך מצדה/חז''ל,דן באר שבע,12א,12:22:59
8240,11132,דרך מצדה/חז''ל,דן באר שבע,12א,12:42:59
8252,11132,דרך מצדה/חז''ל,דן באר שבע,12א,13:02:59
8204,11132,דרך מצדה/חז''ל,דן באר שבע,12א,13:22:59
8336,11132,דרך מצדה/חז''ל,דן באר שבע,12א,13:42:59
8225,11132,דרך מצדה/חז''ל,דן באר שבע,12א,14:02:59
8228,11132,דרך מצדה/חז''ל,דן באר שבע,12א,14:22:59
8195,11132,דרך מצדה/חז''ל,דן באר שבע,12א,14:42:59
8231,11132,דרך מצדה/חז''ל,דן באר שבע,12א,15:02:59
8249,11132,דרך מצדה/חז''ל,דן באר שבע,12א,15:22:59
8213,11132,דרך מצדה/חז''ל,דן באר שבע,12א,15:42:59
8198,11132,דרך מצדה/חז''ל,דן באר שבע,12א,16:02:59
8201,11132,דרך מצדה/חז''ל,דן באר שבע,12א,16:22:59
8246,11132,דרך מצדה/חז''ל,דן באר שבע,12א,16:42:59
8237,11132,דרך מצדה/חז''ל,דן באר שבע,12א,17:02:59
8219,11132,דרך מצדה/חז''ל,דן באר שבע,12א,17:24:59
8207,11132,דרך מצדה/חז''ל,דן באר שבע,12א,17:48:59
