קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
2,"דן באר שבע",1,0,61002,"באר שבע","באר שבע","שד. הצנחנים / צבי בן יעקב - מסוף רמות",16.5,46,69,391,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17786
2,"דן באר שבע",1,1,61002,"באר שבע","באר שבע","שד. הצנחנים / צבי בן יעקב - מסוף רמות",17.8,47,2,12,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,142
2,"דן באר שבע",2,0,61002,"באר שבע","באר שבע","מסוף רמות - שד. הצנחנים / צבי בן יעקב",16.7,45,67,380,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17787
2,"דן באר שבע",2,1,61002,"באר שבע","באר שבע","מסוף רמות - שד. הצנחנים / צבי בן יעקב",17.9,46,2,12,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,143
3,"דן באר שבע",1,0,55003,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - אצטדיון טרנר",9.1,27,85,486,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17640
3,"דן באר שבע",2,0,55003,"באר שבע","באר שבע","אצטדיון טרנר - ת.מרכזית/עירוניים לצפון",9.2,28,91,523,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17641
4,"דן באר שבע",1,0,52004,"באר שבע","באר שבע","אצטדיון טרנר - מסוף רמות",19.1,46,82,460,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17510
4,"דן באר שבע",2,0,52004,"באר שבע","באר שבע","מסוף רמות - אצטדיון טרנר",18.7,48,82,461,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17511
5,"דן באר שבע",1,0,45005,"באר שבע","באר שבע","מסוף חצרים - ""ת. רכבת ב""""ש צפון""",13.6,38,90,512,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17513
5,"דן באר שבע",2,0,45005,"באר שבע","באר שבע","""ת. רכבת ב""""ש צפון"" - מסוף חצרים",13.8,37,92,525,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17514
6,"דן באר שבע",1,0,39006,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - ""דיקלה/מסוף י""""א""",10.4,29,84,455,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17643
6,"דן באר שבע",2,0,39006,"באר שבע","באר שבע","""מסוף י""""א"" - ת.מרכזית/עירוניים לצפון",10.4,29,91,499,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17644
