"Station","Date & Time (Summer)","Relative humidity (%)","Temperature (°C)","Wind speed (m/s)","Rainfall (mm)"
"Beer Sheva Bgu","01/01/2023 00:00","66","13.2","3.3","0"
"Beer Sheva Bgu","01/01/2023 00:10","66","13.3","3.1","0"
"Beer Sheva Bgu","01/01/2023 00:20","66","13.3","3.2","0"
"Beer Sheva Bgu","01/01/2023 00:30","66","13.3","3.2","0"
"Beer Sheva Bgu","01/01/2023 00:40","66","13.3","3.6","0"
"Beer Sheva Bgu","01/01/2023 00:50","66","13.4","3.7","0"
"Beer Sheva Bgu","01/01/2023 01:00","66","13.4","3.8","0"
"Beer Sheva Bgu","01/01/2023 01:10","66","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 01:20","66","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 01:30","67","13.1","-","0"
"Beer Sheva Bgu","01/01/2023 01:40","67","13","-","0"
"Beer Sheva Bgu","01/01/2023 01:50","67","13","-","0"
"Beer Sheva Bgu","01/01/2023 02:00","68","13","-","0"
"Beer Sheva Bgu","01/01/2023 02:10","68","13","-","0"
"Beer Sheva Bgu","01/01/2023 02:20","69","13","-","0"
"Beer Sheva Bgu","01/01/2023 02:30","69","13","-","0"
"Beer Sheva Bgu","01/01/2023 02:40","69","13.1","-","0"
"Beer Sheva Bgu","01/01/2023 02:50","69","13","-","0"
"Beer Sheva Bgu","01/01/2023 03:00","69","13","-","0"
"Beer Sheva Bgu","01/01/2023 03:10","69","12.9","-","0"
"Beer Sheva Bgu","01/01/2023 03:20","69","13","-","0"
"Beer Sheva Bgu","01/01/2023 03:30","70","13","-","0"
"Beer Sheva Bgu","01/01/2023 03:40","70","13","-","0"
"Beer Sheva Bgu","01/01/2023 03:50","70","13.1","-","0"
"Beer Sheva Bgu","01/01/2023 04:00","70","13.1","-","0"
"Beer Sheva Bgu","01/01/2023 04:10","71","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 04:20","71","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 04:30","71","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 04:40","71","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 04:50","70","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 05:00","71","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 05:10","72","13.1","-","0"
"Beer Sheva Bgu","01/01/2023 05:20","72","12.9","-","0"
"Beer Sheva Bgu","01/01/2023 05:30","72","12.9","-","0"
"Beer Sheva Bgu","01/01/2023 05:40","72","13","-","0"
"Beer Sheva Bgu","01/01/2023 05:50","73","12.8","-","0"
"Beer Sheva Bgu","01/01/2023 06:00","73","12.8","-","0"
"Beer Sheva Bgu","01/01/2023 06:10","72","13","-","0"
"Beer Sheva Bgu","01/01/2023 06:20","71","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 06:30","70","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 06:40","70","13.3","-","0"
"Beer Sheva Bgu","01/01/2023 06:50","70","13.2","-","0"
"Beer Sheva Bgu","01/01/2023 07:00","71","13","-","0"
"Beer Sheva Bgu","01/01/2023 07:10","72","12.9","-","0"
"Beer Sheva Bgu","01/01/2023 07:20","72","12.9","-","0"
"Beer Sheva Bgu","01/01/2023 07:30","72","12.8","-","0"
"Beer Sheva Bgu","01/01/2023 07:40","72","12.8","-","0"
"Beer Sheva Bgu","01/01/2023 07:50","72","12.8","-","0"
"Beer Sheva Bgu","01/01/2023 08:00","73","12.7","-","0"
"Beer Sheva Bgu","01/01/2023 08:10","73","12.7","-","0"
