מק""ט,"שם תחנה",רחוב,בית,"שם עיר","קו אורך","קו רוחב","סוג תחנה","תחנת קצה","כמות קווים עוצרים","% נסיעות מעבר","נסיעות מתחנה ליעד","עצירות יומי","עצירות 04:00-06:00","עצירות 06:00-09:00","עצירות 09:00-12:00","עצירות 12:00-15:00","עצירות 15:00-19:00","עצירות 19:00-24:00","עצירות 24:00-04:00","תיקופים יומי","תיקופים 04:00-06:00","תיקופים 06:00-09:00","תיקופים 09:00-12:00","תיקופים 12:00-15:00","תיקופים 15:00-19:00","תיקופים 19:00-24:00","תיקופים 24:00-04:00"
19459,"העלייה/קדושי בגדד",העלייה,20,"באר שבע",34782299,31253136,"תחנה רגילה",רגילה,1,10.731052985,1.235412475,85,1,11,17,18,23,15,0,56.125,0.041666667,12.666666667,9.479166667,12.979166667,16.333333333,4.625,0
12130,"דרך שמשון/אברהם מחרז","דרך שמשון",0,"באר שבע",34782600,31254897,"תחנה רגילה",רגילה,3,7.006369427,1.356687898,93,0,9,17,20,27,20,0,13.395833333,0,3.270833333,1.5,3.770833333,3.479166667,1.375,0
12424,"דרך שמשון/אברהם מחרז","דרך שמשון",0,"באר שבע",34783309,31254058,"תחנה רגילה",רגילה,3,3.95256917,1.486166008,100,3,20,19,19,25,14,0,38.916666667,0.041666667,13.395833333,8.875,7.208333333,8.229166667,1.166666667,0
11091,"תיכון מקיף ג/דרך מצדה","דרך מצדה",176,"באר שבע",34780442,31258538,"תחנה רגילה",רגילה,4,8.050586058,1.372301049,131,1,16,28,31,36,19,0,102.791666667,0,6.791666667,15.020833333,47.3125,27.6875,5.979166667,0
18576,"מבצע יואב/מבצע נחשון","מבצע יואב",18,"באר שבע",34780959,31258891,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1.5,0.5,0,0,0,1,0,0
19460,"תיכון מקיף ג'/דרך מצדה","דרך מצדה",93,"באר שבע",34781615,31258285,"תחנה רגילה",רגילה,5,4.511278195,1.626077389,148,5,34,26,28,39,16,0,365.25,8.895833333,74.104166667,75.041666667,115.9375,77.020833333,14.208333333,0.041666667
18577,"מבצע יואב/מבצע עובדה","מבצע יואב",19,"באר שבע",34780779,31259112,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1,0,0,1,0,0,0,0
12202,"מבצע נחשון/מבצע יואב","מבצע נחשון",5,"באר שבע",34781157,31259416,"תחנה רגילה",רגילה,1,5.459508644,1.379435851,53,1,11,9,9,12,11,0,28.458333333,1.104166667,7.666666667,6.854166667,6.666666667,5,1.125,0.041666667
12281,"דרך מצדה/מבצע נחשון","דרך מצדה",154,"באר שבע",34783453,31258845,"תחנה רגילה",רגילה,5,12.231404959,1.436363636,139,1,16,28,31,41,22,0,21.8125,0,3.770833333,3.083333333,4.604166667,7.708333333,2.604166667,0.041666667
12203,"מבצע נחשון/מבצע דני","מבצע נחשון",13,"באר שבע",34782615,31259457,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,4.333333333,1,0.333333333,0,3,0,0,0
11100,"דרך המשחררים/דרך שמשון","דרך המשחררים",72,"באר שבע",34785786,31251214,"תחנה רגילה",רגילה,2,28.178694158,1.214776632,87,1,11,17,20,23,15,0,23.125,0,3.270833333,3.4375,5.416666667,6.9375,4.020833333,0.041666667
