busLine,busTime,complainId,stationId,isJewishHoliday,weekDay,relativeHumidity(%),temperature(Â°C),windSpeed(m/s),rainfall(mm),operator,routeLength,accesible,numberOfStations,weeklyDrives,numberOfLinesStoppingAtStation,dailyNumberOfPassengersAtStation,hour,passengersNumberSum,dailyNumberOfStopsAtStation
322,22/02/2023 11:19,אוטובוס איחר,13983,FALSE,3,53,17,2.7,0,מטרו,41.2,לא,45,25,39,274.5416667,11,6,771
16,22/02/2023 11:06,אוטובוס הגיע בזמן,13983,FALSE,3,53,17,2.7,0,דן באר שבע,41.2,לא,45,25,39,151.2916667,11,6,771
26,22/02/2023 13:19,אוטובוס הגיע ולא עצר,13992,FALSE,3,48,18.9,3.6,0,מטרו,47.8,לא,35,33,34,151.2916667,13,1,725
11,23/02/2023 5:49,אוטובוס לא הגיע,11292,FALSE,4,93,8.4,1.4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,6,1,294
11,23/02/2023 5:49,אוטובוס איחר,11292,FALSE,4,93,8.4,1.4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,6,1,294
11,23/02/2023 6:09,אוטובוס לא הגיע,11292,FALSE,4,93,8.3,1.3,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,6,1,294
24,23/02/2023 13:56,אוטובוס לא הגיע,11342,FALSE,4,60,16.6,2.9,0,דן באר שבע,13.2,כן,33,336,8,110.5416667,14,3,765
70,26/02/2023 9:32,אוטובוס הגיע ולא עצר,11601,FALSE,0,73,12.7,1.5,0,מטרו,14.6,לא,21,163,39,293.9791667,10,12,747
70,26/02/2023 10:02,אוטובוס הגיע ולא עצר,11601,FALSE,0,69,14.1,1,0,מטרו,14.6,לא,21,163,39,293.9791667,10,12,747
26,26/02/2023 15:44,אוטובוס לא הגיע,13992,FALSE,0,61,20.1,3.8,0,מטרו,47.8,לא,35,33,34,151.2916667,16,1,725
2,26/02/2023 8:10,אוטובוס הגיע בזמן,11601,FALSE,0,69,14.1,1,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,8,1,747
342,26/02/2023 8:36,אוטובוס הגיע בזמן,11601,FALSE,0,69,14.1,1,0,מטרופולין,51.4,לא,56,62,39,293.9791667,9,12,747
